"juz";"surat";"ayat"
"1";"1-2";"1-7,1-141"
"2";"2-2";"142-252"
"3";"2-3";"253-286,1-92"
"4";"3-4";"93-200,1-23"
"5";"4-4";"24-147"
"6";"4-5";"148-176,1-81"
"7";"5-6";"82-120,1-110"
"8";"6-7";"111-165,1-87"
"9";"7-8";"88-206,1-40"
"10";"8-9";"41-75,1-92"
"11";"9-11";"93-129,1-109,1-5"
"12";"11-12";"6-123,1-52"
"13";"12-14";"53-111,1-43,1-52"
"14";"15-16";"1-99,1-128"
"15";"17-18";"1-111,1-74"
"16";"18-20";"75-110,1-98,1-135"
"17";"21-22";"1-112,1-78"
"18";"23-25";"1-118,1-64,1-20"
"19";"25-27";"21-77,1-227,1-55"
"20";"27-29";"56-93,1-88,1-45"
"21";"29-33";"46-69,1-60,1-34,1-30,1-30"
"22";"33-36";"31-73,1-54,1-45,1-27"
"23";"36-39";"28-83,1-182,1-88,1-31"
"24";"39-41";"32-75,1-85,1-46"
"25";"41-45";"47-54,1-53,1-89,1-59,1-37"
"26";"46-51";"1-35,1-38,1-29,1-18,1-45,1-30"
"27";"51-57";"31-60,1-49,1-62,1-55,1-78,1-96,1-29"
"28";"58-66";"1-22,1-24,1-13,1-14,1-11,1-11,1-18,1-12,1-12"
"29";"67-77";"1-30,1-52,1-52,1-44,1-28,1-28,1-20,1-56,1-40,1-31,1-50"
"30";"78-114";"1-40,1-46,1-42,1-29,1-19,1-36,1-25,1-22,1-17,1-19,1-26,1-30,1-20,1-15,1-21,1-11,1-8,1-8,1-19,1-5,1-8,1-8,1-11,1-11,1-8,1-3,1-9,1-5,1-4,1-7,1-3,1-6,1-3,1-5,1-4,1-5,1-6"
